English,Thai,Classifier,Type,,,,,
landlord,เจ้าของบ้าน,คน,Pronoun,,,,,
shop owner,เจ้าของร้าน,คน,Pronoun,,,,,
bridegroom,เจ้าบ่าว,คน,Pronoun,,,,,
bride,เจ้าสาว,คน,Pronoun,,,,,
"authorities, government",เจ้าหน้าที่,คน,Pronoun,,,,,
creditor,เจ้าหนี้,คน,Pronoun,,,,,
to distribute,แจก - จำหน่าย,,V,,,,,
"to make known, inform, report",แจ้ง,,V,,,,,
rice gruel,โจ๊ก,"ชาม, ถุง",N,,,,,
robber,โจร,คน,N,,,,,
"heart, mind, spirit",ใจ,,N,,,,,
generous,ใจกว้าง,,Adj,,,,,
mean,ใจดำ,,Adj,,,,,
kind,ใจดี,,Adj,,,,,
"calm, cool-headed",ใจเย็น,,Adj,,,,,
have a relaxed view of life.,ใจเย็นเย็น,,Adj,,,,,
"to be hot-tempered, short-tempered, quick-tempered, impatient",ใจร้อน,,Adj,,,,,
"copy, issue, edition; classifier for letters or newspapers",ฉบับ,ฉบับ,"Adv, Class",,,,,
smart,ฉลาด,,Adj,,,,,
"I, me (usually female, possibly male speaking to person of inferior status)",ฉัน,,Pronoun,,,,,
myself (female),ฉันเอง,,Pronoun,,,,,
to shine a light,ฉาย,,V,,,,,
cymbals,ฉิ่ง,ตัว,N,,,,,
to inject,ฉีด,,V,,,,,
to get an injection,ฉีดยา,,V,,,,,
"especially, exclusively for",เฉพาะ,,Adv,,,,,
"to be calm, still, passive, indifferent",เฉย,,Adj,,,,,
"so-so, just, to be indifferent, have a relaxed view of life",เฉยๆ,,Adj,,,,,
average,เฉลี่ย,,V,,,,,
box,ชกมวย,,V,,,,,
"to hit, bump into",ชน,,V,,,,,
"rural area, countryside (polite)",ชนบท,"แห่ง, ที่",N,,,,,
to win,ชนะ,,Adj,,,,,
"kind, type (emphasis on type)",ชนิด,,Adv,,,,,
"to look at, admire, praise",ชม,,V,,,,,
rose apple,ชมพู่,"ใบ, ลูก, ผล",N,,,,,
period (of time),ช่วง,,Adv,,,,,
lately,ช่วงนี้,,Adv,,,,,
"to invite, urge, persuade someone to do something",ชวน,,V,,,,,
"to help, please",ช่วย,,V,,,,,
help!,ช่วยด้วย,,V,,,,,
chocolate (loanword),ช็อกโกแลต,ชิ้น,N,,,,,
channel,ช่อง,,N,,,,,
spoon,ช้อน,คัน,N,,,,,
serving spoon,ช้อนกลาง,คัน,N,,,,,
teaspoon,ช้อนชา,คัน,N,,,,,
spoon and fork,ช้อนส้อม,คัน,N,,,,,
"to like, be fond of",ชอบ,,V,,,,,
to weigh,ชั่ง,,V,,,,,
to weigh (formal),ชั่งน้ำหนัก,,V,,,,,
"plain(ly), clear(ly), distinct(ly)",ชัด,,Adj,,,,,
"class, rank, grade, floor (in a building)",ชั้น,,N,,,,,
upstairs,ชั้นบน,,"Adj, Adv",,,,,
"downstairs, ground floor",ชั้นล่าง,,"Adj, Adv",,,,,
second floor,ชั้นสอง,,"Adj, Adv",,,,,
"first floor, first class",ชั้นหนึ่ง,,"Adj, Adv",,,,,
temporary,ชั่วคราว,,Adv,,,,,
"hour, 60 minutes (measure of time)",ชั่วโมง,,Adv,,,,,
tea (the product or drink),ชา,"ถ้วย, ที่",N,,,,,
slow(ly),"ช้า, ช้าๆ",,Adv,,,,,
"technician, mechanic",ช่าง,คน,Pronoun,,,,,
elephant,ช้าง,เชือก,N,,,,,
barber,ช่างตัดผม,คน,N,,,,,
tailor,ช่างตัดเสื้อ,คน,N,,,,,
electrician,ช่างไฟฟ้า,คน,N,,,,,
photographer,ช่างภาพ,คน,N,,,,,
engine mechanic,ช่างยนต์,คน,N,,,,,
nationality,ชาติ,,N,,,,,
platform,ชานชาลา,แห่ง,N,,,,,
slow,ช้าไป,,Adv,,,,,
bowl,ชาม,ใบ,N,,,,,
male,ชาย,คน,Pronoun,,,,,
old man,ชายแก่,คน,Pronoun,,,,,
beach,ชายทะเล,แห่ง,N,,,,,
bachelor,ชายโสด,คน,Pronoun,,,,,
men and women,ชายหญิง,คน,N,,,,,
beach,ชายหาด,"แห่ง, ที่",N,,,,,
"city people, townspeople, urban population",ชาว,,N,,,,,
farmer,ชาวนา,,N,,,,,
farmer (rice),ชาวนา,คน,N,,,,,
fisherman,ชาวประมง,คน,N,,,,,
Asian,ชาวเอเชีย,คน,N,,,,,
"to revise (formal), to cleanse",ชำระ,,V,,,,,
close (touching),ชิด,,V,,,,,
"to be be accustomed to, used to, familiar with",ชิน,,Adj,,,,,
piece of something; classifier for things,ชิ้น,,"Adv, Class",,,,,
to taste,ชิม,,V,,,,,
to clarify,ชี้แจง,,V,,,,,
life,ชีวิต,ชีวิต,N,,,,,
"to feel sweet, cordial",ชื่นใจ,,Adj,,,,,
"name, to be named",ชื่อ,ชื่อ,N,,,,,
nickname,ชื่อเล่น,ชื่อ,N,,,,,
"suit, dress, uniform, clothing; class: set, group, series",ชุด,ชุด,N,,,,,
lingerie,ชุดชั้นใน,ตัว,N,,,,,
pajamas,ชุดนอน,ตัว,N,,,,,
"to check, cheque (loanword)",เช็ค,ฉบับ,N,,,,,
to wipe,เช็ด,,V,,,,,
such as,เช่น,,Conj,,,,,
same here,เช่นกัน,,Adv,,,,,
as usual,เช่นเคย,,Adv,,,,,
"the same as, in like manner",เช่นเดียวกับ,,Adv,,,,,
"like this, in this way",เช่นนี้,,Adv,,,,,
to rent,เช่า,,V,,,,,
"morning, a.m. (6am - 11am)",เช้า,,Adj,,,,,
early morning,เช้าตรู่,,Adj,,,,,
this morning,เช้านี้,,Adj,,,,,
early morning,เช้ามืด,,Adj,,,,,
Sunday morning,เช้าวันอาทิตย์,,Adj,,,,,
"to invite, go ahead, please do, help yourself",เชิญ,,V,,,,,
"to believe (in), have faith (in)",เชื่อ,,V,,,,,
"lineage, descendant, pedigree, nationality, family",เชื้อ,,N,,,,,
"rope, cord; classifier for elephants (domestic)",เชือก,เส้น,N,,,,,
to obey,เชื่อฟัง,,V,,,,,
germ,เชื้อโรค,ตัว,N,,,,,
"soak, steep in liquid",แช่,,V,,,,,
good luck!,โชคดี,,Adj,,,,,
good luck! (phrase),โชคดีนะ,,Adj,,,,,
luck (bad),โชคร้าย,,Adj,,,,,
yes,ใช่,,Adj,,,,,
"to use, be used for",ใช้,,Adv,,,,,
to spend money,ใช้เงิน,,V,,,,,
"finished, used up ",ใช้หมด,,V,,,,,
"isn't it so, isn't it the one?",ใช่ไหม,,POS,,,,,
hurrah! (for giving toasts),ไชโย,,POS,,,,,
bad luck,ซวย,,Adj,,,,,
"classifier for cigarettes, envelopes",ซอง,,Class,,,,,
envelope,ซองจดหมาย,ชอง,N,,,,,
to hide,ซ่อน,,V,,,,,
software,ซอฟต์แวร์,"ตัว, ชิ้น",N,,,,,
to repair,ซ่อม,,V,,,,,
"lane, narrow street",ซอย,ชอย,N ,,,,,
"to wash (clothes only); to launder, a little, bit",ซัก,,V,,,,,
even once,ซักที,,Adv,,,,,
"to wash in water, to rinse",ซักน้ำ,,Adj,,,,,
to do the laundry,ซักผ้า,,V,,,,,
to dry-clean,ซักแห้ง,,Adj,,,,,
left (side),ซ้าย,,Adj,,,,,
Saudi Arabia,ซาอุดีอาระเบีย,,N,,,,,
particle used to show emphasis ,ซิ,,Particle,,,,,
particle used to show emphasis,ซิ่,,Particle,,,,,
fast,ซิ่ง,,Adj,,,,,
zipper,ซิป,ตัว,N,,,,,
CD (loanword),ซีดี,แผ่น,N,,,,,
soy sauce,ซีอิ๊ว,,N,,,,,
"which, that, where, what",ซึ่ง,,Relative Pronoun,,,,,
honest,ซื่อ,,Adj,,,,,
"to buy, to shop ",ซื้อ,,V,,,,,
to shop,ซื้อของ,,V,,,,,
honest,ซื่อตรง,ป้าย,Adj,,,,,
naughty,ซุกซน,,Adj,,,,,
soup (loanwords),ซุป,ชนิด,N,,,,,
supermarket,ซุปเปอร์มาร์เก็ต,แห่ง,N,,,,,
to be very bored,เซ็ง,,Adj,,,,,
to sign,เซ็น,,V,,,,,
to sign name,เซ็นชื่อ,,V,,,,,
celsius,เซลเซียส,,N,,,,,
chain,โซ่,เส้น,N,,,,,
soda water,โซดา,ขวด,N ,,,,,
"Vietnam, Vietnamese ",ญวน ,,N,,,,,
relative(s),ญาติ,ตน,Pronoun,,,,,
"Japan, Japanese ",ญี่ปุ่น ,,N,,,,,
"status, rank",ฐานะ,,N,,,,,
novice,เณร,รูป,N,,,,,
music,ดนตรี,ชนิด,N,,,,,
to smell (active),ดม,,V,,,,,
"lamp, electric light; classifier for stamps",ดวง,ดวง,Adv,,,,,
moon,ดวงจันทร์,ดวง,N,,,,,
sun,ดวงอาทิตย์,ดวง,N,,,,,
"to be urgent, express",ด่วน,,Adv,,,,,
"also, too, as well",ด้วย,หลัง,Adv,,,,,
together,ด้วยกัน,,Adv,,,,,
by oneself,ด้วยตัวเอง,,Adv,,,,,
flower,ดอก,ดอก,N,,,,,
lotus flower,ดอกบัว,ดอก,N,,,,,
interest,ดอกเบี้ย,,N,,,,,
flower,ดอกไม้,ดอก,N,,,,,
pickled,ดอง,,Adj,,,,,
dollar,ดอลลาร์,แบงค์,N,,,,,
loud,ดัง,,ADJ,,,,,
therefore,ดังนั้น - เพราะฉะนั้น,,Conj,,,,,
to push,ดัน,,V,,,,,
"to switch off, turn off, put out",ดับ,,V,,,,,
"to curse, scold",ด่า,,V,,,,,
"field, line (of research, study or work)",ด้าน,,N,,,,,
"handle, shaft, hilt; classifier for pen, pencil",ด้าม,,Adv,,,,,
"thread, string, cord",ด้าย,เส้น,N,,,,,
star,ดาว,ดวง,N,,,,,
"to proceed, walk, go on foot",ดำเนิน,,V,,,,,
dictionary (loanword),ดิก,เส่น,N,,,,,
"I, me (female speaker)","ดิฉัน, ฉัน",คน,Pronoun,,,,,
"earth, land, ground",ดิน,ก้อน,N,,,,,
pencil,ดินสอ,แท่ง,N,,,,,
"unripe, raw",ดิบ,,Adj,,,,,
good (to be),ดี,,Adj,,,,,
better than,ดีกว่า,,Adj,,,,,
"improved, better than before",ดีขึ้น,,Adj,,,,,
glad,ดีใจ,,Adj,,,,,
best,ดีที่สุด,,Adj,,,,,
"to be excellent, superb (slang) ",ดีเยี่ยม - วิเศษ - เด็ด,,V,,,,,
"11 pm - 3 am, late at night",ดึก,,Adj,,,,,
to pull,ดึง,,V,,,,,
to drink,ดื่ม,,V,,,,,
to look at,ดู,,V,,,,,
"to care for, nourish, maintain",ดูแล - บำรุง,,V,,,,,
looks like,ดูเหมือน,,Adv,,,,,
child,เด็ก,คน,N,,,,,
boy,เด็กชาย,คน,N,,,,,
boy,เด็กผู้ชาย,คน,N,,,,,
girl,เด็กผู้หญิง,คน,N,,,,,
girl,เด็กหญิง,คน,N,,,,,
Denmark,เดนมาร์ก,,N,,,,,
to walk ,เดิน,,V,,,,,
to travel ,เดินทาง,,V,,,,,
to take a walk,เดินเล่น,,V,,,,,
"one only, only",เดียว,,Adj,,,,,
"soon, otherwise, or else, in just a minute, in just a moment",เดี๋ยว,,Adj,,,,,
"same, identical",เดียวกัน,,Adv,,,,,
right now,เดี๋ยวนี้,,Adj,,,,,
"to be angry, boiling mad",เดือด,,V,,,,,
"to be in trouble, distressed",เดือดร้อน,,Adj,,,,,
month,เดือน,เดือน,N,,,,,
last month,เดือนที่แล้ว,,N,,,,,
this month,เดือนนี้,,N,,,,,
next month,เดือนหน้า,,N,,,,,
"sunlight, sunshine",แดด,,N,,,,,
sunburn,แดดเผา,,N,,,,,
by (means of transportation),โดย,,Prep,,,,,
especially,โดยเฉพาะ,,Adv,,,,,
"fast, quickly ",โดยเร็ว,,Adj,,,,,
any,ใดๆ,,Adj,,,,,
"can, could, be able, get, obtain, procure",ได้,,"V, aux",,,,,
such as,ได้แก่,,Conj,,,,,
to make money,ได้เงิน,,V,,,,,
to hear ,ได้ยิน,,V,,,,,
to receive,ได้รับ,,V,,,,,
"can (you), could (you), are (you) able to?",ได้ไหม,,Particle (question),,,,,
to fall,ตก,,V,,,,,
startled,ตกใจ,,Adj,,,,,
to fish,ตกปลา,,V,,,,,
"right, O.K., to agree (to something)",ตกลง,,V,,,,,
"oneself, self",ตน,,N,,,,,
"stem, trunk",ต้น,,N,,,,,
beginning of the month,ต้นเดือน,,N,,,,,
beginning of the year,ต้นปี,,N,,,,,
trees,ต้นไม้,ต้น,N,,,,,
"oneself, self",ตนเอง,,N,,,,,
to slap,ตบ,,V,,,,,
to boil something,ต้ม,,V,,,,,
straight,ตรง,,Adj,,,,,
opposite,ตรงกันข้าม,,"Adj, Adv",,,,,
opposite (location),ตรงกันข้ามกับ,,"Adj, Adv",,,,,
"opposite, across from",ตรงข้าม,,"Adj, Adv",,,,,
opposite (location),ตรงข้ามกัน,,"Adj, Adv",,,,,
"right across from, just opposite to",ตรงข้ามกับ,,"Adj, Adv",,,,,
"over here, right here",ตรงนี้,,"Adj, Adv",,,,,
go straight,ตรงไป,,Adv,,,,,
to inspect,ตรวจ,,V,,,,,
investigate,ตรวจสอบ,,V,,,,,
"family, lineage, pedigree",ตระกูล,ตระกูล,N,,,,,
"throughout, always, all the time, continually",ตลอด,,Adv,,,,,
until,ตลอดจน,,"Prep, Conj",,,,,
"forever, always, from now on",ตลอดไป,,Adv,,,,,
all day,ตลอดวัน,,Adv,,,,,
all the time,ตลอดเวลา,,Adv,,,,,
market,ตลาด,แห่ง,N,,,,,
morning market,ตลาดนัด,"แห่ง, ที่",N,,,,,
"to join on to, continue oil, connect, next, after this, further",ต่อ,,V,,,,,
"to have to, must",ต้อง,,V helping verb,,,,,
"to want, need",ต้องการ,,V,,,,,
must not,ต้องไม่,,V,,,,,
"sometime, time, part of (something)",ตอน,,N,,,,,
night,ตอนกลางคืน,,N,,,,,
at night,ตอนค่ำ,,N,,,,,
morning,ตอนเช้า,,N,,,,,
late at night,ตอนดึก,,N,,,,,
"when, while, as",ตอนที่,,Conj,,,,,
at noon,ตอนเที่ยง,,N,,,,,
then,ตอนนั้น,,N,,,,,
now,ตอนนี้,,N,,,,,
afternoon,ตอนบ่าย,,N,,,,,
evening,ตอนเย็น,,N,,,,,
"to receive, welcome",ต้อนรับ,,V,,,,,
at first,ตอนแรก,,Adv,,,,,
late morning,ตอนสาย,,N,,,,,
"to continue, carry on",ต่อเนื่อง,,Adv,,,,,
to answer,ตอบ,,V,,,,,
"next, latter, later",ต่อไป,,Conj,,,,,
as follows,ต่อไปนี้,,Adv,,,,,
later on,ต่อมา,,Conj,,,,,
to punch,ต่อย,,V,,,,,
to bargain,ต่อราคา,,V,,,,,
lead,ตะกั่ว,,N,,,,,
lantern,ตะเกียง,ดวง,N,,,,,
chopsticks,ตะเกียบ,คู่,N,,,,,
to yell,ตะคอก,,V,,,,,
lemon grass,ตะไคร้,ต้น,N,,,,,
"nail, spike",ตะปู,ตัว,N,,,,,
hips,ตะโพก,,N,,,,,
west,ตะวันตก,,N,,,,,
southwest,ตะวันตกเฉียงใต้,,N,,,,,
northwest,ตะวันตกเฉียงเหนือ,,N,,,,,
east,ตะวันออก,,N,,,,,
southeast ,ตะวันออกเฉียงใต้,,N,,,,,
northeast,ตะวันออกเฉียงเหนือ,,N,,,,,
to scoop,ตัก,,V,,,,,
grasshopper,ตั๊กแตน,ตัว,N,,,,,
to give alms (to a monk),ตักบาตร,,V,,,,,
"to set, to settle",ตั้ง,,V,,,,,
to intend,ตั้งใจ,,V,,,,,
"from (such and such a time or starting point), since",ตั้งแต่,,"Conj, Prep",,,,,
since when,ตั้งแต่เมื่อไร,,"Conj, Prep",,,,,
be pregnant,ตั้งท้อง,,V,,,,,
to be located at,ตั้งอยู่,,V,,,,,
to cut ,ตัด,,V,,,,,
to cut hair,ตัดผม,,V,,,,,
to decide,ตัดสินใจ,,V,,,,,
liver,ตับ,ชิ้น,V,,,,,
"body, physique; classifier for animals, objects with legs",ตัว,,"N, Class",,,,,
ticket,ตั๋ว,ใบ,,,,,,
he (himself),ตัวเขาเอง,,Personal Pronoun,,,,,
I myself (female),ตัวฉัน,,Personal Pronoun,,,,,
representative,ตัวแทน,,N,,,,,
round-trip ticket,ตั๋วไปกลับ,ใบ,N,,,,,
I myself (male),ตัวผม,,Personal Pronoun,,,,,
animal (male),ตัวผู้,ตัว,N,,,,,
animal (female),ตัวเมีย,ตัว,N,,,,,
"number, figure, digit",ตัวเลข,ตัว,N,,,,,
letter (of the alphabet),ตัวหนังสือ ,ตัว,N,,,,,
"sample, example",ตัวอย่าง,,N,,,,,
alphabet,ตัวอักษร,ตัว,N,,,,,
one's self,ตัวเอง,,N,,,,,
"grandfather (mother’s father and men of that age), eye",ตา,"คน, ดวง","N, Class",,,,,
dry in the sun,ตากแดด,,V,,,,,
various,ต่างๆ,,"Adj, Adv",,,,,
"outside of Bangkok, upcountry",ต่างจังหวัด,"แห่ง, ที่","Adj, N",,,,,
"country, rural",ต่างจังหวัด,,N,,,,,
"foreign, foreign countries, abroad",ต่างประเทศ,,N,,,,,
"separately, independently, on one's own, on the contrary, far from it",ต่างหาก,,"Adv, Adj, Conj",,,,,
earring,ต่างหู,คู่,N,,,,,
great grandfather (maternal) ,ตาทวด,คน,N,,,,,
"along, after; to follow",ตาม,,V,,,,,
as you like,ตามใจ,,Adv,,,,,
"according to, as, in the way that, as may be",ตามที่,,Conj,,,,,
usually,ตามธรรมดา,,Adv,,,,,
to die,ตาย,,V,,,,,
square,ตาราง,,N,,,,,
square wa (4 square meters),ตารางวา,,N,,,,,
schedule,ตารางเวลา,,N,,,,,
"low (in pitch, elevation, or status)",ต่ำ,,"Adv, Adj",,,,,
"sub-district, precinct, subdivision of an amphoe",ตำบล,แห่ง,N,,,,,
"police, policeman",ตำรวจ,คน,N,,,,,
position (rank),ตำแหน่ง,ตำแหน่ง,N,,,,,
"to be attached to, to attach, addicted to ",ติด,,V,,,,,
next to,ติดกับ,,Adv,,,,,
"to contact, get in touch with",ติดต่อ,,V,,,,,
to contact or get in touch with someone,ติดต่อกัน,,V,,,,,
to hit,ตี,,V,,,,,
building made of masonry,ตึก,หลัง,N,,,,,
tight,ตึง,,Adj,,,,,
to wake up,ตื่น,,V,,,,,
to be excited,ตื่นเต้น,,Adj,,,,,
to wake up,ตื่นนอน,,V,,,,,
gecko,ตุ๊กแก,ตัว,N,,,,,
doll,ตุ๊กตา,ตัว,N,,,,,
tuk tuk,ตุ๊กตุ๊ก,เครือง,N,,,,,
Turkey (the country),ตุรกี,,N,,,,,
October,ตุลาคม,,N,,,,,
"chest of drawers, cabinets, bookcase ",ตู้,ใบ,N,,,,,
sleeping compartment on train,ตู้นอน,ตุ้,N,,,,,
"letterbox (public, for sending)",ตู้ไปรษณีย์,ตุ้,N,,,,,
police box,ตู้ยามตำรวจ,ตุ้,N,,,,,
refrigerator,ตู้เย็น,เครือง,N,,,,,
wardrobe,ตู้เสื้อผ้า,ตุ้,N,,,,,
bookcase,ตู้หนังสือ,ตุ้,N,,,,,
ATM (loanword),ตู้เอทีเอ็ม,ตุ้,N,,,,,
to dance,เต้น,,V,,,,,
to dance,เต้นรำ,,V,,,,,
"to be full (bottle, hotel)",เต็ม,,Adj,,,,,
willingly,เต็มใจ,,Adj,,,,,
to prepare,เตรียม,,V,,,,,
to kick,เตะ,,V,,,,,
stove,เตา,เตา,N,,,,,
turtle,เต่า,ตัว,N,,,,,
electric stove,เตาไฟฟ้า,เตา,N,,,,,
iron (for clothing),เตารีด,อัน,N,,,,,
oven,เตาอบ,เครือง,N,,,,,
"to add to, fill",เติม,,V,,,,,
to be short in height,เตี้ย,,Adj,,,,,
bed,เตียง,เตียง,N,,,,,
bed,เตียงนอน,เตียง,N,,,,,
"to remind, warn",เตือน,,V,,,,,
but,แต่,,Conj,,,,,
"to be broken,  shatter (fragile things breaking into many pieces)",แตก,,V,,,,,
"to differ, to be different, separate",แตกต่าง,,Adj,,,,,
"decorate, adorn",แต่ง,,V,,,,,
cucumber,แตงกวา,ลูก,N,,,,,
"to marry, married",แต่งงาน,,V,,,,,
"to dress, apply cosmetics, etc",แต่งตัว,,V,,,,,
musk melon,แตงไทย,ลูก,N,,,,,
watermelon,แตงโม,"ใบ, ลูก",N,,,,,
early morning,แต่เช้า,,Adv,,,,,
each,แต่ละ,,Adj,,,,,
touch (lightly),แตะ,,V,,,,,
"big, large, mature",โต,,Adj,,,,,
"table, desk",โต๊ะ,ตัว,N,,,,,
dressing table,โต๊ะเครื่องแป้ง,ตัว,N,,,,,
desk,โต๊ะทำงาน,ตัว,N,,,,,
"south, under  (for objects)",ใต้,,Prep,,,,,
kidney,ไต,ไต,N,,,,,
"to climb, clamber, scale",ไต่,,V,,,,,
Taiwan,ไต้หวัน,,N,,,,,
"street, road",ถนน ,สาย,N,,,,,
main road,ถนนใหญ่,สาย,N,,,,,
"cup, small bowl",ถ้วย,ใบ,N,,,,,
coffee cup,ถ้วยกาแฟ,ใบ,N,,,,,
dishes,ถ้วยชาม,ใบ,N,,,,,
"to take off, remove, unscrew",ถอด,,V,,,,,
withdraw,ถอน,,V,,,,,
to back up,ถอย,,V,,,,,
to knit,ถัก,,V,,,,,
pail,ถัง,ใบ,N,,,,,
"beans, peas, nuts",ถั่ว,เม็ด,N,,,,,
bean sprouts,ถั่วงอก,ต้น,N,,,,,
green peas,ถั่วลันเตา,ฝัก,N,,,,,
peanuts,ถั่วลิสง,เม็ด,N,,,,,
soybean,ถั่วเหลือง,เม์ด,N,,,,,
if,ถ้า,,Conj,,,,,
tray,ถาด,ใบ,N,,,,,
charcoal,ถ่าน,ก้อน,N,,,,,
flashlight battery,ถ่านไฟฉาย,ก้อน,N,,,,,
to ask (a question),ถาม,,V,,,,,
unless (if you don't…),ถ้าไม่,,Conj,,,,,
"to broadcast, transmit, relay",ถ่ายทอด,,V,,,,,
to take a picture,ถ่ายรูป,,V,,,,,
"in that case, if that's how it is",ถ้ายังงั้น,,Conj,,,,,
if that’s the case,ถ้าอย่างนั้น,,Conj,,,,,
cave,ถ้ำ,แห่ง,N,,,,,
"ride, pedal",ถีบ,,V,,,,,
to arrive,ถึง,,V,,,,,
although,ถึงแม้ว่า,,Conj,,,,,
to hold,ถือ,,V,,,,,
"sack, bag, food in bags",ถุง,ใบ,N,,,,,
stockings,ถุงเท้า,คู่,N,,,,,
gloves,ถุงมือ,คู่,N,,,,,
condom,ถุงยาง,ชิ้น,N,,,,,
to scrub,ถู,,V,,,,,
"right, correct, cheap",ถูก,,Adj,,,,,
"accurate, correct ",ถูกต้อง,,V,,,,,
correct,ถูกแล้ว,,Adj,,,,,
"why not, let's",เถอะ (เถิด),,Particle,,,,,
"to dispute, debate, argue",เถียง,,V,,,,,
row,แถว,,N,,,,,
"over there, that area",แถวนั้น,,N,,,,,
"around here, in this area",แถวนี้  ,,N,,,,,
to experiment,ทดลอง,,V,,,,,
"to test, examine",ทดสอบ,,V,,,,,
"to endure, stand, tolerate",ทน,,V,,,,,
"durable, permanent",ทนทาน - ถาวร,,Adj,,,,,
lawyer,ทนายความ,คน,N,,,,,
resource(s),ทรัพยากร,อย่าง,N,,,,,
"to know (formal, polite)",ทราบ,,V,,,,,
sand,ทราย,เม็ด,N,,,,,
theory,ทฤษฎี,ทฤษฏี,N,,,,,
to ask for (something owed),ทวง,,V,,,,,
to overflow ,ท่วม,,V,,,,,
continent,ทวีป,"ทวีป, แห่ง",N,,,,,
Europe,ทวีปยุโรป,,N,,,,,
America,ทวีปอเมริกา,,N,,,,,
South America,ทวีปอเมริกาใต้,,N,,,,,
North America,ทวีปอเมริกาเหนือ,,N,,,,,
Australia,ทวีปออสเตรเลีย,,N,,,,,
Asia,ทวีปเอเชีย,,N,,,,,
Africa,ทวีปแอฟริกา,,N,,,,,
soldier,ทหาร,คน,N,,,,,
navy,ทหารเรือ,คน,N,,,,,
air force,ทหารอากาศ,คน,N,,,,,
to weave,ทอ,,V,,,,,
"pipe, ditch, sewer",ท่อ,"เส้น, อัน",N,,,,,
gold,ทอง,ก้อน,N,,,,,
to recite,ท่อง,,V,,,,,
"abdomen, stomach, intestinal area",ท้อง,ท้อง,N,,,,,
to memorize,ท่องจำ,,V,,,,,
copper,ทองแดง,,N,,,,,
"to tour, travel for pleasure",ท่องเที่ยว,,V,,,,,
brass,ทองเหลือง,,N,,,,,
"to fry (in large pieces), fried, deep fried",ทอด,,V,,,,,
to give change,ทอน,,V,,,,,
to give change,ทอนเงิน,,V,,,,,
water pipe,ท่อน้ำ,เส้น,N,,,,,
"register, list, record",ทะเบียน,,N,,,,,
sea,ทะเล,แห่ง,N,,,,,
desert,ทะเลทราย,แห่ง,N,,,,,
lake,ทะเลสาบ,แห่ง,N,,,,,
all of,ทั้ง,,Prefix,,,,,
all night,ทั้งคืน,,Adv,,,,,
all day,ทั้งวัน,,Adv,,,,,
both,ทั้งสอง,,Adj,,,,,
altogether,ทั้งสิ้น,,"Adj, Adv",,,,,
altogether,ทั้งหมด,,"Adj, Adv",,,,,
"various, every, all over, many",ทั้งหลาย,,Adj,,,,,
"to overtake, catch up with, be on time ",ทัน,,V,,,,,
in time,ทันเวลา,,V,,,,,
"modern, up-to-date",ทันสมัย,,Adj,,,,,
"slash (used in addresses), to superimpose, lay on top, run over",ทับ,,V,,,,,
pomegranate,ทับทิม,ใบ,N,,,,,
"to be all over, throughout",ทั่ว,,"Adj, Adv",,,,,
"to be general, common, ordinary",ทั่วไป,,"Adj, Adv",,,,,
port,ท่า,แห่ง,N,,,,,
"way, path, direction, means, way",ทาง,,N,,,,,
right (to the),ทางขวา,,N,,,,,
on the right (hand side),ทางขวา (มือ),,Adj,,,,,
"way in, entrance",ทางเข้า,,N,,,,,
left (to the left),ทางซ้าย,,Adj,,,,,
on the left (hand side),ทางซ้าย (มือ),,Adj,,,,,
expressway,ทางด่วน,แห่ง,N,,,,,
that way,ทางนั้น,,N,,,,,
this way,ทางนี้,,N,,,,,
that over there,ทางโน้น,,N,,,,,
pedestrian crossing,ทางม้าลาย,"แห่ง, ที่",N,,,,,
railway,ทางรถไฟ,สาย,N,,,,,
"alternative, option",ทางเลือก,ทาง,N,,,,,
highway,ทางหลวง,สาย,N,,,,,
which way,ทางไหน,,Adv,,,,,
"way out, exit",ทางออก,,N,,,,,
"to eat, drink (elegant term) ",ทาน,,V,,,,,
"to have a meal, to eat rice",ทานข้าว,,V,,,,,
"the end, the last of a series",ท้าย,,N,,,,,
bus station (between provinces),ท่ารถทัวร์,"แห่ง, ที่",N,,,,,
"pier, harbour, wharf, port",ท่าเรือ,ท่า,N,,,,,
"to do, make",ทำ,,V,,,,,
to cook ,ทำกับข้าว,,V,,,,,
to clean,ทำความสะอาด,,V,,,,,
to work,ทำงาน,,V,,,,,
to work for …,ทำงานให้,,V,,,,,
to be made of,ทำด้วย …,,Adj,,,,,
to punish,ทำโทษ,,V,,,,,
to make merit,ทำบุญ,,V,,,,,
why (question word),ทำไม,,Question word,,,,,
"to destroy, demolish, damage",ทำลาย,,V,,,,,
to lose,ทำหาย,,V,,,,,
to clean,ทำให้สะอาด,,V,,,,,
to throw away,ทิ้ง,,V,,,,,
"tissue, napkins",ทิชชู่,"ม้วน, แผ่น",N,,,,,
direction,ทิศ,ทิศ,N,,,,,
"direction, way",ทิศทาง,,N,,,,,
a time,ที,,V,,,,,
"at, that, which, times, occasions; general classifier for orders of food",ที่,,Prep,,,,,
storage place,ที่เก็บของ,ที่,N,,,,,
ash tray,ที่เขี่ยบุหรี่,อัน,N,,,,,
"parking space, place to park",ที่จอด ,ที่,N,,,,,
"parking place, parking lot",ที่จอดรถ,"แห่ง, ที่",N,,,,,
"that will, who will, which will",ที่จะ,,"V, Aux",,,,,
land (din means dirt or soil),ที่ดิน,,N,,,,,
"exactly, quite, very",ทีเดียว,,Adv,,,,,
site,ที่ตั้ง,,N,,,,,
